gene_symbol	inheritance_class	LOEUF	missense	geneIds
ATP8B1	recessive	0.56	2.49	ENSG00000081923
SECISBP2	recessive	1.03	0.0052	ENSG00000187742
RAD51C	recessive	1.49	0.126	ENSG00000108384
FOXG1	Dom	0.329	3.49	ENSG00000176165
TWIST2	recessive	1.15	2.13	ENSG00000233608
NDUFAF2	recessive	1.6	-0.0661	ENSG00000164182
GCH1	recessive	0.398	1.52	ENSG00000131979
TRPV4	Dom	1.06	1.92	ENSG00000111199
LIG4	recessive	0.802	0.202	ENSG00000174405
COL25A1	recessive	0.877	1.45	ENSG00000188517
KCNH1	Dom	0.387	3.82	ENSG00000143473
SIX3	Dom	0.323	2.07	ENSG00000138083
CHRNA4	Dom	0.822	0.342	ENSG00000101204
ALX4	recessive	0.519	0.821	ENSG00000052850
SCO2	recessive	1.76	-1.61	ENSG00000130489
CCNO	recessive	1.17	-0.136	ENSG00000152669
RAPSN	recessive	0.741	0.548	ENSG00000165917
WDPCP	recessive	0.782	0.898	ENSG00000143951
ALX3	recessive	1.03	0.446	ENSG00000156150
FREM1	recessive	1.12	-3.51	ENSG00000164946
CKAP2L	recessive	0.626	-0.089	ENSG00000169607
UBE3A	Dom	0.206	4.4	ENSG00000114062
POLR3B	recessive	0.868	3.2	ENSG00000013503
WNT5A	Dom	0.269	1.98	ENSG00000114251
MAMLD1	recessive	0.445	0.599	ENSG00000013619
POMT2	recessive	0.795	0.0763	ENSG00000009830
JAK3	recessive	0.525	2.81	ENSG00000105639
AP4S1	recessive	1.63	-0.0101	ENSG00000100478
COX10	recessive	0.611	-0.18	ENSG00000006695
NDE1	recessive	0.69	-1.13	ENSG00000072864
KANSL1	Dom	0.238	1.23	ENSG00000120071
HAX1	recessive	1.38	0.136	ENSG00000143575
ITGA7	recessive	0.799	0.359	ENSG00000135424
TSPAN7	recessive	0.535	1.91	ENSG00000156298
GCH1	Dom	0.398	1.52	ENSG00000131979
RPE65	recessive	1.11	-0.24	ENSG00000116745
CUL4B	recessive	0.085	3.77	ENSG00000158290
NOG	Dom	0.417	1.32	ENSG00000183691
FOLR1	recessive	0.652	0.675	ENSG00000110195
PAPSS2	recessive	0.955	0.461	ENSG00000198682
TRIO	Dom	0.139	5.32	ENSG00000038382
SDHA	recessive	0.859	0.745	ENSG00000073578
TSHR	recessive	1.26	0.334	ENSG00000165409
COL9A3	Dom	0.746	-0.382	ENSG00000092758
GRIA3	recessive	0.193	4.23	ENSG00000125675
ERCC5	recessive	0.805	0.118	ENSG00000134899
TSC2	Dom	0.074	-0.33	ENSG00000103197
VDR	recessive	0.878	1.06	ENSG00000111424
PRSS56	recessive	0.698	1.05	ENSG00000237412
TUFM	recessive	0.739	1.4	ENSG00000178952
PIGT	recessive	0.948	0.277	ENSG00000124155
TGFBR1	Dom	0.383	2.79	ENSG00000106799
TYRP1	recessive	1.89	-2.15	ENSG00000107165
TACO1	recessive	1.09	0.938	ENSG00000136463
CCND2	Dom	0.229	2.13	ENSG00000118971
TTC37	recessive	0.783	0.482	ENSG00000198677
SOX2	Dom	0.569	2.12	ENSG00000181449
GNAI3	Dom	0.611	1.79	ENSG00000065135
STXBP1	Dom	0.086	4.26	ENSG00000136854
ALDH4A1	recessive	0.714	-0.0467	ENSG00000159423
TBCE	recessive	0.805	0.121	ENSG00000116957
CTDP1	recessive	0.529	0.996	ENSG00000060069
LFNG	recessive	0.69	0.616	ENSG00000106003
CA5A	recessive	0.971	-1.2	ENSG00000174990
LONP1	recessive	0.244	0.428	ENSG00000196365
ACAD9	recessive	0.814	-0.179	ENSG00000177646
SPR	recessive	1.14	0.733	ENSG00000116096
MCEE	recessive	1.34	0.519	ENSG00000124370
EDN1	recessive	0.635	0.169	ENSG00000078401
ATIC	recessive	1.25	-0.482	ENSG00000138363
AP4E1	recessive	0.431	0.521	ENSG00000081014
ESCO2	recessive	0.833	0.408	ENSG00000171320
NDUFS4	recessive	1.16	-0.842	ENSG00000164258
INPPL1	recessive	0.423	1.6	ENSG00000165458
DYRK1A	Dom	0.214	3.34	ENSG00000157540
ACTA1	recessive	1.22	4.53	ENSG00000143632
PREPL	recessive	0.994	-2.5	ENSG00000138078
LAMB1	recessive	0.64	0.544	ENSG00000091136
ALX4	Dom	0.519	0.821	ENSG00000052850
MTR	recessive	0.627	2.04	ENSG00000116984
MYCN	Dom	0.412	1.41	ENSG00000134323
ACP5	recessive	0.724	0.4	ENSG00000102575
FTSJ1	recessive	0.204	2.17	ENSG00000068438
IL1RAPL1	recessive	0.197	2.77	ENSG00000169306
ST3GAL5	recessive	0.756	1.05	ENSG00000115525
RBM8A	recessive	0.564	2.16	ENSG00000131795
PLOD2	recessive	0.638	0.561	ENSG00000152952
COL18A1	recessive	0.535	-0.797	ENSG00000182871
TYR	recessive	1.96	-1.95	ENSG00000077498
IGHMBP2	recessive	0.953	0.176	ENSG00000132740
KLF1	Dom	1.13	0.851	ENSG00000105610
CRB1	recessive	0.829	-1.28	ENSG00000134376
ACSL4	recessive	0.306	2.59	ENSG00000068366
SPEG	recessive	0.293	2.78	ENSG00000072195
HIBCH	recessive	1.19	0.293	ENSG00000198130
SCO1	recessive	0.991	-0.196	ENSG00000133028
NHP2	recessive	1.08	0.0376	ENSG00000145912
UROS	recessive	0.726	-0.0817	ENSG00000188690
HSPG2	recessive	0.412	1.14	ENSG00000142798
SHANK2	Dom	0.458	2.32	ENSG00000162105
L2HGDH	recessive	0.787	0.425	ENSG00000087299
FGF9	Dom	0.323	1.54	ENSG00000102678
RAB3GAP2	recessive	0.291	0.868	ENSG00000118873
TGDS	recessive	1.15	0.3	ENSG00000088451
LBR	recessive	0.422	0.289	ENSG00000143815
SEC23B	recessive	0.978	0.473	ENSG00000101310
MTOR	Dom	0.185	7.02	ENSG00000198793
SOX3	recessive	0.855	2.21	ENSG00000134595
SLC27A4	recessive	0.702	0.232	ENSG00000167114
HPS1	recessive	0.692	0.116	ENSG00000107521
GK	recessive	0.288	3.19	ENSG00000198814
TUBB2B	Dom	0.222	5.12	ENSG00000137285
RPGRIP1L	recessive	0.956	-0.108	ENSG00000103494
CLPB	recessive	0.536	1.05	ENSG00000162129
RBM10	recessive	0.11	4.46	ENSG00000182872
EFTUD2	Dom	0.094	4.03	ENSG00000108883
MMP13	recessive	1.52	-0.21	ENSG00000137745
APTX	recessive	1.3	-0.367	ENSG00000137074
MCCC1	recessive	0.902	0.543	ENSG00000078070
SLC35D1	recessive	0.784	0.0255	ENSG00000116704
NPHP1	recessive	0.975	0.226	ENSG00000144061
PMS2	recessive	1.27	-0.557	ENSG00000122512
TAB2	Dom	0.098	1.61	ENSG00000055208
LTBP3	recessive	0.335	2.85	ENSG00000168056
PHGDH	recessive	0.778	0.207	ENSG00000092621
IFT80	recessive	0.991	1.51	ENSG00000068885
FKBP14	recessive	1.66	0.0939	ENSG00000106080
FOXC2	Dom	0.788	-0.251	ENSG00000176692
PAX8	Dom	0.2	0.785	ENSG00000125618
PDE4D	Dom	0.206	3.75	ENSG00000113448
TRAPPC9	recessive	0.733	1.48	ENSG00000167632
KDM5C	recessive	0.166	5.15	ENSG00000126012
FLT4	Dom	0.147	2.83	ENSG00000037280
MPV17	recessive	1.79	0.237	ENSG00000115204
TSC1	Dom	0.118	2.32	ENSG00000165699
ALG13	Dom	0.16	1.15	ENSG00000101901
SYN1	recessive	0.251	2.97	ENSG00000008056
SHOX	Dom	0.515	-0.538	ENSG00000185960
POLR1D	Dom	1.01	0.169	ENSG00000186184
ACVR1	Dom	0.454	2.34	ENSG00000115170
PHOX2B	Dom	0.34	2.08	ENSG00000109132
BRWD3	recessive	0.084	4.27	ENSG00000165288
PPP2R5D	Dom	0.175	3.65	ENSG00000112640
B9D1	recessive	0.952	0.102	ENSG00000108641
GJA3	Dom	1.49	1.71	ENSG00000121743
DPM1	recessive	0.873	0.378	ENSG00000000419
DLG3	recessive	0.09	2.88	ENSG00000082458
GALE	recessive	1.39	-0.322	ENSG00000117308
FYCO1	recessive	0.911	0.174	ENSG00000163820
FBP1	recessive	0.723	0.74	ENSG00000165140
TUSC3	recessive	0.926	-0.0491	ENSG00000104723
LRIG2	recessive	0.906	0.482	ENSG00000198799
PCYT1A	recessive	0.858	1.64	ENSG00000161217
ZSWIM6	Dom	0.067	4.18	ENSG00000130449
GDF5	Dom	0.465	0.894	ENSG00000125965
RAB23	recessive	0.833	0.318	ENSG00000112210
TMPRSS6	recessive	0.721	0.213	ENSG00000187045
HMGCS2	recessive	1.2	-0.191	ENSG00000134240
POLG	recessive	0.555	-0.742	ENSG00000140521
VPS33B	recessive	0.961	0.364	ENSG00000184056
DCDC2	recessive	1.16	0.432	ENSG00000146038
RNASET2	recessive	0.961	0.243	ENSG00000026297
MGP	recessive	1.66	0.116	ENSG00000111341
PITX1	Dom	0.418	1.31	ENSG00000069011
TCOF1	Dom	0.311	0.339	ENSG00000070814
DOCK7	recessive	0.379	3.42	ENSG00000116641
AIMP1	recessive	1.22	-0.207	ENSG00000164022
HDAC4	Dom	0.052	2.93	ENSG00000068024
MYH3	Dom	0.63	1.74	ENSG00000109063
SYNGAP1	Dom	0.052	5.6	ENSG00000197283
ROGDI	recessive	1.42	-1.32	ENSG00000067836
LMX1B	Dom	0.415	2.02	ENSG00000136944
ACAT1	recessive	1.05	0.906	ENSG00000075239
TSHB	recessive	1.81	0.304	ENSG00000134200
COX15	recessive	1.33	0.262	ENSG00000014919
DIS3L2	recessive	0.325	0.944	ENSG00000144535
GTF2H5	recessive	1.71	-0.123	ENSG00000272047
COL9A2	Dom	0.636	1.34	ENSG00000049089
HYAL1	recessive	1.02	0.315	ENSG00000114378
HCFC1	recessive	0.06	5.63	ENSG00000172534
IHH	recessive	0.61	1.45	ENSG00000163501
ITPR1	Dom	0.134	5.6	ENSG00000150995
CHD8	Dom	0.082	5.95	ENSG00000100888
CYP1B1	recessive	1.18	-0.748	ENSG00000138061
SF3B4	Dom	0.208	3.87	ENSG00000143368
SYP	recessive	0.385	1.33	ENSG00000102003
UROC1	recessive	0.975	-0.509	ENSG00000159650
IGFBP7	recessive	1.12	0.314	ENSG00000163453
LRIT3	recessive	1.42	0.314	ENSG00000183423
SIL1	recessive	0.636	0.471	ENSG00000120725
PORCN	Dom	0.135	2.37	ENSG00000102312
FKTN	recessive	0.842	-0.0466	ENSG00000106692
BBS7	recessive	0.735	1.23	ENSG00000138686
PTH	recessive	1.7	0.549	ENSG00000152266
ETHE1	recessive	1.46	0.957	ENSG00000105755
CCDC8	recessive	0.83	-0.159	ENSG00000169515
LIPN	recessive	0.94	-0.097	ENSG00000204020
ATM	recessive	0.71	1.1	ENSG00000149311
TMEM70	recessive	0.92	0.129	ENSG00000175606
PGM1	recessive	1.32	-0.228	ENSG00000079739
NEK1	recessive	0.862	1.07	ENSG00000137601
KCTD7	recessive	0.654	1.47	ENSG00000243335
SMARCAL1	recessive	0.611	0.845	ENSG00000138375
SPECC1L	Dom	0.332	1.6	ENSG00000100014
PNKP	recessive	1.21	-1.31	ENSG00000039650
LARP7	recessive	0.842	-0.268	ENSG00000174720
CYB5R3	recessive	0.853	-0.419	ENSG00000100243
PHF8	recessive	0.263	3.98	ENSG00000172943
GRM1	recessive	0.415	2.58	ENSG00000152822
STIL	recessive	0.383	1.13	ENSG00000123473
PIGN	recessive	1.03	0.416	ENSG00000197563
BIN1	recessive	0.368	2.25	ENSG00000136717
CDKN1C	Dom	0.529	1.93	ENSG00000129757
TSHR	Dom	1.26	0.334	ENSG00000165409
PTCH1	Dom	0.075	1.68	ENSG00000185920
BMPR1B	recessive	0.225	0.27	ENSG00000138696
PEX5	recessive	0.59	0.681	ENSG00000139197
MAF	Dom	0.537	1.18	ENSG00000178573
PDE6H	recessive	1.81	0.195	ENSG00000139053
GRIN2A	Dom	0.188	2.83	ENSG00000183454
PACS1	Dom	0.185	3.71	ENSG00000175115
GLIS3	recessive	0.736	-3.14	ENSG00000107249
PPP2R1A	Dom	0.303	4.46	ENSG00000105568
ADAR	recessive	0.42	2.27	ENSG00000160710
MAOA	recessive	0.143	2.38	ENSG00000189221
MEGF8	recessive	0.366	3.48	ENSG00000105429
SKIV2L	recessive	0.877	1.85	ENSG00000204351
IFITM5	Dom	1.95	-0.668	ENSG00000206013
EIF4A3	recessive	0.119	4.02	ENSG00000141543
ST3GAL3	recessive	0.621	1.5	ENSG00000126091
MAB21L2	recessive	0.549	2.96	ENSG00000181541
FGD1	recessive	0.196	3.52	ENSG00000102302
HPGD	recessive	1.25	-0.119	ENSG00000164120
FIG4	recessive	1.24	1.88	ENSG00000112367
MEOX1	recessive	1.27	-0.261	ENSG00000005102
CUL7	recessive	0.731	0.543	ENSG00000044090
CTSD	recessive	0.795	1.38	ENSG00000117984
RAB3GAP1	recessive	0.535	1.18	ENSG00000115839
SDCCAG8	recessive	0.784	-0.0986	ENSG00000054282
NPHP3	recessive	0.649	0.864	ENSG00000113971
ACAN	recessive	0.183	0.207	ENSG00000157766
PQBP1	recessive	0.499	1.92	ENSG00000102103
MCPH1	recessive	1.44	-4.76	ENSG00000147316
GLE1	recessive	0.752	0.806	ENSG00000119392
CCDC39	recessive	0.754	0.363	ENSG00000145075
NUBPL	recessive	0.929	0.285	ENSG00000151413
MYH9	Dom	0.088	3.47	ENSG00000100345
GPC6	recessive	0.511	0.901	ENSG00000183098
MYO5A	recessive	0.295	3.1	ENSG00000197535
PTH1R	recessive	0.411	1.65	ENSG00000160801
ETFB	recessive	0.825	0.423	ENSG00000105379
TXNL4A	recessive	1.82	2.77	ENSG00000141759
ORC6	recessive	1.39	-0.487	ENSG00000091651
POU1F1	recessive	0.681	0.457	ENSG00000064835
ERCC1	recessive	1.3	0.664	ENSG00000012061
CC2D1A	recessive	0.42	0.941	ENSG00000132024
NDUFB11	Dom	0.556	0.513	ENSG00000147123
GM2A	recessive	1.28	-0.298	ENSG00000196743
EDNRA	Dom	0.254	2.8	ENSG00000151617
DYM	recessive	0.905	0.239	ENSG00000141627
TRIM37	recessive	0.642	0.82	ENSG00000108395
AKR1D1	recessive	1.13	0.172	ENSG00000122787
PGAP3	recessive	0.833	0.685	ENSG00000161395
ACADVL	recessive	1.05	-0.21	ENSG00000072778
FOXP3	recessive	0.195	1.67	ENSG00000049768
COX6B1	recessive	1.17	0.748	ENSG00000126267
PALB2	recessive	1.01	0.276	ENSG00000083093
SOX9	Dom	0.168	1.63	ENSG00000125398
PGM3	recessive	0.653	1.51	ENSG00000013375
LRP5	recessive	0.341	1.67	ENSG00000162337
PAK3	recessive	0.286	3.53	ENSG00000077264
CSTB	recessive	1.85	0.0172	ENSG00000160213
DRC1	recessive	1.04	-0.0468	ENSG00000157856
RNASEH2C	recessive	1.47	-0.917	ENSG00000172922
WNT4	Dom	0.651	1.61	ENSG00000162552
CCDC40	recessive	0.845	-0.181	ENSG00000141519
GUCY2C	Dom	1.08	1.25	ENSG00000070019
SBDS	recessive	1.23	0.593	ENSG00000126524
RTTN	recessive	0.739	0.107	ENSG00000176225
IGF1	recessive	0.806	1.54	ENSG00000017427
FRAS1	recessive	0.658	0.078	ENSG00000138759
PDGFRB	Dom	0.325	1.84	ENSG00000113721
GATM	recessive	0.534	2.29	ENSG00000171766
DDOST	recessive	0.731	0.787	ENSG00000244038
ENPP1	recessive	0.586	1.62	ENSG00000197594
RAB18	recessive	0.39	1.39	ENSG00000099246
CHRNA1	recessive	1.08	0.722	ENSG00000138435
MFRP	recessive	1.22	-1.47	ENSG00000235718
CDKL5	Dom	0.226	2.74	ENSG00000008086
KCNB1	Dom	0.125	4.27	ENSG00000158445
PSAP	recessive	0.285	-0.525	ENSG00000197746
PIEZO2	Dom	0.371	3.44	ENSG00000154864
ZBTB20	Dom	0.317	4.27	ENSG00000181722
VIPAS39	recessive	0.798	0.858	ENSG00000151445
DDX11	recessive	0.961	-0.221	ENSG00000013573
FOXRED1	recessive	1.32	-0.402	ENSG00000110074
POLR1A	Dom	0.256	2.95	ENSG00000068654
GALNS	recessive	1.01	-0.435	ENSG00000141012
PLOD1	recessive	0.938	0.394	ENSG00000083444
POC1A	recessive	0.931	1.08	ENSG00000164087
SHANK1	Dom	0.184	3.64	ENSG00000161681
HYDIN	recessive	0.505	0.81	ENSG00000157423
TCTN3	recessive	1.04	0.836	ENSG00000119977
KIF22	Dom	0.851	0.141	ENSG00000079616
NDUFA1	recessive	1.18	0.963	ENSG00000125356
GLIS2	recessive	0.415	0.792	ENSG00000126603
TBR1	Dom	0.194	3.64	ENSG00000136535
DCX	recessive	0.616	2.7	ENSG00000077279
GPC3	recessive	0.162	1.45	ENSG00000147257
EIF2AK3	recessive	0.445	2.03	ENSG00000172071
RECQL4	recessive	1.21	-4.22	ENSG00000160957
PSAT1	recessive	1.27	0.413	ENSG00000135069
ZMYND11	Dom	0.12	3.71	ENSG00000015171
USB1	recessive	0.999	0.192	ENSG00000103005
KIAA0586	recessive	0.719	0.371	ENSG00000100578
AHI1	recessive	0.95	-0.0346	ENSG00000135541
MAPRE2	recessive	0.406	3.19	ENSG00000166974
DKC1	recessive	0.191	3.4	ENSG00000130826
PARN	recessive	0.519	0.794	ENSG00000140694
TINF2	Dom	0.671	0.725	ENSG00000092330
TPM2	Dom	0.827	2.13	ENSG00000198467
TCN2	recessive	0.93	-2.12	ENSG00000185339
TRAIP	recessive	0.705	1.32	ENSG00000183763
COL6A3	recessive	0.562	-0.606	ENSG00000163359
XYLT2	recessive	0.341	2.09	ENSG00000015532
SPARC	recessive	0.393	1.1	ENSG00000113140
UBE2T	recessive	1.3	0.316	ENSG00000077152
TBX18	Dom	0.193	0.099	ENSG00000112837
THOC2	recessive	0.081	5.53	ENSG00000125676
ZIC1	Dom	0.364	2.57	ENSG00000152977
DLL4	Dom	0.188	2.71	ENSG00000128917
CEP104	recessive	0.743	0.444	ENSG00000116198
MFSD2A	recessive	0.538	2.04	ENSG00000168389
PRDM12	recessive	0.368	1.67	ENSG00000130711
CNTNAP1	recessive	0.422	3.22	ENSG00000108797
CCDC88C	recessive	0.454	0.708	ENSG00000015133
NDUFA10	recessive	1.1	-0.362	ENSG00000130414
GPX4	recessive	1.28	-1.08	ENSG00000167468
DVL3	Dom	0.422	2.32	ENSG00000161202
TKT	recessive	0.563	1.66	ENSG00000163931
NONO	recessive	0.244	3.59	ENSG00000147140
GORAB	recessive	0.987	-0.18	ENSG00000120370
TBX15	recessive	0.437	0.993	ENSG00000092607
MAP3K7	Dom	0.212	2.79	ENSG00000135341
PIGY	recessive	1.88	-0.321	ENSG00000255072
SETD1A	Dom	0.136	1.83	ENSG00000099381
CIT	recessive	0.261	3.82	ENSG00000122966
SIN3A	Dom	0.07	4.39	ENSG00000169375
EMG1	recessive	1.25	-0.304	ENSG00000126749
KIDINS220	Dom	0.35	2.26	ENSG00000134313
MITF	recessive	0.308	1.47	ENSG00000187098
RAB11B	Dom	0.643	2.48	ENSG00000185236
THOC6	recessive	0.673	-0.402	ENSG00000131652
DNAH5	recessive	0.695	-0.771	ENSG00000039139
RLIM	recessive	0.247	2.42	ENSG00000131263
USP27X	recessive	0.363	3.18	ENSG00000242013
BHLHA9	Dom	1.89	0.0222	ENSG00000205899
WDR26	Dom	0.085	3.58	ENSG00000162923
ARMC9	recessive	1.05	0.851	ENSG00000135931
GZF1	recessive	0.646	1.95	ENSG00000125812
INPP5K	recessive	0.787	0.601	ENSG00000132376
ABL1	Dom	0.176	2.56	ENSG00000097007
PEX11B	recessive	1.08	-0.305	ENSG00000131779
CAMK2A	Dom	0.251	4.68	ENSG00000070808
CAMK2B	Dom	0.364	4.07	ENSG00000058404
FN1	Dom	0.338	1.65	ENSG00000115414
GPAA1	recessive	0.977	0.868	ENSG00000197858
TBC1D20	recessive	0.364	1.21	ENSG00000125875
EDAR	recessive	0.906	0.728	ENSG00000135960
KMT2C	Dom	0.122	2.14	ENSG00000055609
RORA	Dom	0.404	2.58	ENSG00000069667
DDX6	Dom	0.174	3.78	ENSG00000110367
TBL1XR1	Dom	0.106	4.2	ENSG00000177565
PCYT2	recessive	0.702	1.73	ENSG00000185813
COG4	Dom	0.713	-0.282	ENSG00000103051
SAMD9	Dom	1.24	0.769	ENSG00000205413
NDUFB8	recessive	0.983	-0.113	ENSG00000166136
SEPSECS	recessive	0.989	0.0214	ENSG00000109618
ARL3	recessive	1.1	1.16	ENSG00000138175
POU3F3	Dom	0.429	3.04	ENSG00000198914
POLR2A	Dom	0.159	7.13	ENSG00000181222
NUP214	recessive	0.349	0.653	ENSG00000126883
TAOK1	Dom	0.274	4.82	ENSG00000160551
DYNC1I2	recessive	0.769	2.45	ENSG00000077380
HNRNPR	Dom	0.21	3.54	ENSG00000125944
SMARCD1	Dom	0.206	3.44	ENSG00000066117
CSF1R	recessive	0.393	1.57	ENSG00000182578
GPC4	recessive	0.368	1.66	ENSG00000076716
CACNA1B	recessive	0.24	4.52	ENSG00000148408
CNOT1	Dom	0.038	7.25	ENSG00000125107
POLA1	recessive	0.051	1.99	ENSG00000101868
ACTL6B	recessive	0.645	3.27	ENSG00000077080
CDK8	Dom	0.418	3.68	ENSG00000132964
VAMP2	Dom	0.422	1.41	ENSG00000220205
ROBO4	Dom	0.909	0.0903	ENSG00000154133
FAT4	recessive	0.184	0.622	ENSG00000196159
NBAS	recessive	0.777	-0.875	ENSG00000151779
NUP133	recessive	0.448	1.02	ENSG00000069248
TP53RK	recessive	1.65	0.198	ENSG00000172315
CANT1	recessive	1.31	0.488	ENSG00000171302
CTU2	recessive	1.5	-3.95	ENSG00000174177
EDN1	Dom	0.635	0.169	ENSG00000078401
KDM5B	Dom	0.572	1.78	ENSG00000117139
RARB	Dom	0.12	2.87	ENSG00000077092
USP9X	recessive	0.051	6.41	ENSG00000124486
CRYBB1	recessive	0.996	0.351	ENSG00000100122
IGF1R	Dom	0.306	2.73	ENSG00000140443
ITPR1	recessive	0.134	5.6	ENSG00000150995
MAB21L2	Dom	0.549	2.96	ENSG00000181541
ZC4H2	Dom	0.39	1.51	ENSG00000126970
PIGH	recessive	0.867	0.948	ENSG00000100564
PUS1	recessive	0.855	0.291	ENSG00000177192
YARS2	recessive	1.26	0.264	ENSG00000139131
MED25	recessive	0.652	1.25	ENSG00000104973
B4GALT1	recessive	0.704	0.976	ENSG00000086062
GTPBP2	recessive	0.433	3.43	ENSG00000172432
ATP6V1A	Dom	0.358	3.37	ENSG00000114573
CAMK2G	Dom	0.241	3.8	ENSG00000148660
AGTPBP1	recessive	0.351	2.01	ENSG00000135049
ECM1	recessive	1.13	-0.224	ENSG00000143369
EFEMP2	recessive	0.601	0.976	ENSG00000172638
EIF2B4	recessive	0.33	0.798	ENSG00000115211
EPCAM	recessive	1.16	-1.43	ENSG00000119888
GEMIN4	recessive	1.01	-0.468	ENSG00000179409
HERC1	recessive	0.24	4.96	ENSG00000103657
LMOD3	recessive	1.14	-0.618	ENSG00000163380
MFF	recessive	0.567	0.445	ENSG00000168958
MYBPC1	recessive	0.46	1.02	ENSG00000196091
MYO18B	recessive	0.715	0.177	ENSG00000133454
PCDH12	recessive	0.98	0.784	ENSG00000113555
PIBF1	recessive	0.719	-0.456	ENSG00000083535
PTRH2	recessive	1.7	0.427	ENSG00000141378
RPL10	recessive	0.387	2.61	ENSG00000147403
RPS26	Dom	0.483	1.93	ENSG00000197728
TRMT10A	recessive	1.18	0.436	ENSG00000145331
ZNF142	recessive	0.792	0.241	ENSG00000115568
ASNS	recessive	0.74	1.86	ENSG00000070669
TRAPPC4	recessive	1.48	0.428	ENSG00000196655
DNAH11	recessive	0.674	-5.61	ENSG00000105877
DNAI1	recessive	0.725	-0.293	ENSG00000122735
DNAI2	recessive	0.982	0.423	ENSG00000171595
FOXJ1	Dom	0.278	0.699	ENSG00000129654
GAS8	recessive	1.19	-0.919	ENSG00000141013
MCIDAS	recessive	0.865	1.88	ENSG00000234602
RSPH1	recessive	0.985	0.138	ENSG00000160188
RSPH3	recessive	0.933	0.0674	ENSG00000130363
RSPH4A	recessive	0.939	0.319	ENSG00000111834
RSPH9	recessive	1.63	0.237	ENSG00000172426
SCNN1A	Dom	0.912	-0.49	ENSG00000111319
SCNN1B	Dom	0.798	0.212	ENSG00000168447
SCNN1G	Dom	0.408	0.561	ENSG00000166828
TTC12	recessive	1.05	-0.0927	ENSG00000149292
ACTA2	Dom	0.364	3.2	ENSG00000107796
ADAMTS2	recessive	0.311	1.43	ENSG00000087116
AEBP1	recessive	0.64	1	ENSG00000106624
ATP6V0A2	recessive	0.748	0.945	ENSG00000185344
ATP6V1E1	recessive	0.514	1.59	ENSG00000131100
C1R	Dom	0.39	2.03	ENSG00000159403
COL1A2	Dom	0.202	2.15	ENSG00000164692
COL1A2	recessive	0.202	2.15	ENSG00000164692
COL3A1	Dom	0.098	4.09	ENSG00000168542
COL3A1	recessive	0.098	4.09	ENSG00000168542
COL5A1	Dom	0.055	2.07	ENSG00000130635
DSE	recessive	0.377	2.03	ENSG00000111817
FBLN5	recessive	0.172	1.56	ENSG00000140092
LOX	Dom	0.285	0.652	ENSG00000113083
LTBP4	recessive	0.327	2.35	ENSG00000090006
PRDM5	recessive	0.839	0.698	ENSG00000138738
RIN2	recessive	0.549	0.724	ENSG00000132669
SMAD3	Dom	0.4	3.48	ENSG00000166949
TGFB2	Dom	0.148	2.13	ENSG00000092969
ZNF469	recessive	0.367	0.774	ENSG00000225614
ALPL	Dom	0.693	1.27	ENSG00000162551
B3GAT3	recessive	1.33	0.692	ENSG00000149541
CDC45	recessive	0.598	0.828	ENSG00000093009
CYP26B1	recessive	0.29	1.05	ENSG00000003137
DPH1	recessive	1.37	-0.178	ENSG00000108963
ERF	Dom	0.261	2.25	ENSG00000105722
IL11RA	recessive	1.54	0.637	ENSG00000137070
POR	recessive	0.842	-0.0717	ENSG00000127948
SLC25A24	Dom	1.13	0.824	ENSG00000085491
SMAD6	Dom	1.98	-0.592	ENSG00000137834
SMO	Dom	0.684	1.9	ENSG00000128602
SOX6	Dom	0.215	1.93	ENSG00000110693
TCF12	Dom	0.372	0.89	ENSG00000140262
CCDC103	recessive	1.36	0.0869	ENSG00000167131
CCDC65	recessive	1.12	-0.236	ENSG00000139537
CFC1	Dom	1.25	-0.224	ENSG00000136698
DNAAF1	recessive	1	-1.99	ENSG00000154099
DNAAF2	recessive	1.07	-0.252	ENSG00000165506
DNAH9	recessive	0.722	-0.0429	ENSG00000007174
LRRC56	recessive	1.25	-0.883	ENSG00000161328
MMP21	recessive	1.2	1.34	ENSG00000154485
MNS1	recessive	1.33	-0.439	ENSG00000138587
PKD1L1	recessive	0.732	0.335	ENSG00000158683
SPAG1	recessive	0.761	0.908	ENSG00000104450
ACTC1	Dom	0.48	4.52	ENSG00000159251
C1QBP	recessive	1.47	1.06	ENSG00000108561
CSRP3	Dom	1.31	-0.139	ENSG00000129170
FLNC	Dom	0.25	2.79	ENSG00000128591
MYH7	Dom	0.575	3.93	ENSG00000092054
MYL2	Dom	1.75	0.396	ENSG00000111245
MYL3	Dom	0.898	0.756	ENSG00000160808
PLN	Dom	1.56	0.624	ENSG00000198523
PRKAG2	Dom	0.256	1.65	ENSG00000106617
TNNI3	Dom	0.692	1.28	ENSG00000129991
TNNI3	recessive	0.692	1.28	ENSG00000129991
TNNT2	Dom	0.638	1.19	ENSG00000118194
TPM1	Dom	0.783	2.87	ENSG00000140416
CIC	Dom	0.183	0.726	ENSG00000079432
GBF1	Dom	0.551	2.41	ENSG00000107862
HTRA1	Dom	0.752	1.05	ENSG00000166033
LMNB1	Dom	0.414	1.63	ENSG00000113368
RIMS2	recessive	0.206	0.776	ENSG00000176406
SCAF4	Dom	0.106	1.94	ENSG00000156304
TCF12	recessive	0.372	0.89	ENSG00000140262
ZMYM2	Dom	0.332	3.01	ENSG00000121741
